Date,Category,Author,Url,Title,Findings
12/28/2021,Vaccine Safety / Effectiveness / Newborn Outcomes,Yang et al.,https://journals.lww.com/greenjournal/Fulltext/2022/03000/Association_of_Gestational_Age_at_Coronavirus.4.aspx#,"Association of Gestational Age at Coronavirus Disease 2019 (COVID-19) Vaccination, History of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection, and a Vaccine Booster Dose With Maternal and Umbilical Cord Antibody Levels at Delivery","Vaccination against COVID-19 before and throughout pregnancy was associated with detectable maternal anti-spike IgG levels at delivery. A complete vaccination course, prior history of SARS-CoV-2 infection, and a third-trimester booster dose were associated with the highest maternal and umbilical cord antibody levels."
1/7/2022,Vaccine Safety / Effectiveness / Newborn Outcomes,Lipkind et al.,https://www.cdc.gov/mmwr/volumes/71/wr/mm7101e1.htm?s_cid=mm7101e1_w,"Receipt of COVID-19 Vaccine During Pregnancy and Preterm or Small-for-Gestational-Age at Birth — Eight Integrated Health Care Organizations, United States, December 15, 2020–July 22, 2021","In a retrospective cohort of >40,000 pregnant women, COVID-19 vaccination during pregnancy was not associated with preterm birth or small-for-gestational-age at birth overall, stratified by trimester of vaccination, or number of vaccine doses received during pregnancy, compared with unvaccinated pregnant women."
1/13/2022,Vaccine Safety / Effectiveness / Newborn Outcomes,Stock et al.,https://www.nature.com/articles/s41591-021-01666-2,SARS-CoV-2 infection and COVID-19 vaccination rates in pregnant women in Scotland,Severe complications known to be associated with COVID-19 in pregnancy (critical care admission and perinatal mortality) were more common in women who were unvaccinated at the time of COVID-19 diagnosis than in vaccinated pregnant women.
1/21/2022,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/who-sage-roadmap-for-prioritizing-uses-of-covid-19-vaccines,WHO SAGE Roadmap for Prioritizing Use of COVID-19 Vaccines,Vaccination recommended in pregnancy.
1/21/2022,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-vaccines-SAGE_recommendation-BNT162b2-2021.1,"Interim recommendations for use of the Pfizer–BioNTech COVID-19 vaccine, BNT162b2, under Emergency Use Listing",Pfizer recommended (1) for lactating persons and recommended (1) for pregnant persons.
2/7/2022,Vaccine Safety / Effectiveness / Newborn Outcomes,Shook et al.,https://jamanetwork.com/journals/jama/fullarticle/2788986,Durability of Anti-Spike Antibodies in Infants After Maternal COVID-19 Vaccination or Natural Infection,This study found that the majority of infants born to COVID-vaccinated mothers had persistent anti-S antibodies at 6 months compared with infants born to mothers with SARS-CoV-2 infection.
2/15/2022,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-FAQ-Pregnancy-Vaccines-2022.1,Questions and Answers: COVID-19 vaccines and pregnancy,"Vaccination recommended in pregnancy (Pfizer, Moderna, AstraZeneca, Janssen, Novavax, Sinophram, Sinovac, Bharat)."
2/18/2022,Vaccine Safety / Effectiveness / Newborn Outcomes,Halasa et al.,https://www.cdc.gov/mmwr/volumes/71/wr/mm7107e3.htm?s_cid=mm7107e3_w,"Vaccine Effectiveness Against COVID-19 Hospitalization in Infants <6 Months of Age from Maternal mRNA COVID-19 Vaccination — United States, July 2021– January 2022",Maternal completion of a 2-dose primary mRNA COVID-19 vaccination series during pregnancy was associated with reduced risk for COVID-19 hospitalization among infants aged <6 months in a real-world evaluation at 20 U.S. pediatric hospitals during a period of Delta and Omicron variant circulation.
3/15/2022,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-vaccines-SAGE-recommendation-BIBP,"Interim recommendations for use of the inactivated COVID-19 vaccine BIBP developed by China National Biotec Group (‎CNBG)‎, Sinopharm",Sinopharm recommended (1) for lactating persons and permitted (2) for pregnant persons.
3/15/2022,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-vaccines-SAGE_recommendation-Sinovac-CoronaVac-2021.1,"Interim recommendations for use of the inactivated COVID-19 vaccine, CoronaVac, developed by Sinovac",Sinovac recommended (1) for lactating persons and permitted (2) for pregnant persons.
3/15/2022,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-vaccines-SAGE-recommendation-bbv152-covaxin,Interim recommendations for use of the Bharat Biotech BBV152 COVAXIN® vaccine against COVID-19,Bharat recommended (1) for lactating persons and permitted (2) for pregnant persons.
3/24/2022,Vaccine Safety / Effectiveness / Newborn Outcomes,Fell et al.,https://jamanetwork.com/journals/jama/fullarticle/2790607,Association of COVID-19 Vaccination in Pregnancy With Adverse Peripartum Outcomes,"COVID-19 vaccination during pregnancy, compared with vaccination after pregnancy and with no vaccination, was not significantly associated with increased risk of postpartum hemorrhage, chorioamnionitis, cesarean delivery, admission to neonatal intensive care unit, or low newborn 5-minute Apgar score."
4/4/2022,Vaccine Safety / Effectiveness / Newborn Outcomes,Ruderman et al.,https://jamanetwork.com/journals/jamapediatrics/fullarticle/2790805,Association of COVID-19 Vaccination During Early Pregnancy With Risk of Congenital Fetal Anomalies,Findings suggest that COVID-19 vaccination during early pregnancy is not associated with an increased risk of fetal structural anomalies identified with ultrasonography.
4/12/2022,Vaccine Safety / Effectiveness / Newborn Outcomes,Morro et al,https://www.sciencedirect.com/science/article/pii/S0264410X22004479?via%3Dihub,"Post-authorization surveillance of adverse events following COVID-19 vaccines in pregnant persons in the vaccine adverse event reporting system (VAERS), December 2020 – October 2021",Review of reports to VAERS following COVID-19 vaccines in pregnant persons did not identify any concerning patterns of maternal or infant-fetal outcomes.
5/7/2022,Risk of SARS-CoV2 In Pregnancy,Allotey et al.,https://www.bmj.com/content/370/bmj.m3320,"Clinical manifestations, risk factors, and maternal and perinatal outcomes of coronavirus disease 2019 in pregnancy: living systematic review and meta-analysis",Pregnant women with covid-19 versus without covid-19 are more likely to deliver preterm and have an increased risk of maternal death and of being admitted to the intensive care unit. Their babies are more likely to be admitted to the neonatal intensive care unit.
5/19/2022,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-vaccines-SAGE-recommendation-Ad5-nCoV-Convidecia,Interim recommendations for use of the Cansino Ad5-nCoV-S vaccine (Convidecia ®) against COVID-19,CanSino recommended (1) for lactating persons and permitted (2) for pregnant persons.
6/6/2022,WHO / SAGE Recommendations,WHO,https://www.who.int/publications/i/item/WHO-2019-nCoV-vaccines-SAGE-recommendation-Ad26.COV2.S-2021.1,Interim recommendations for the use of the Janssen Ad26.COV2.S (COVID-19) vaccine,Janssen recommended (1) for lactating persons and permitted (2) for pregnant persons.
